t,p1,p2,v1,a1,v2,a2,
17.2,0.251,0.258,0.008,0.047,-0.019,0.048,
17.25,0.251,0.257,0.008,0.024,-0.016,0.06,
17.3,0.251,0.257,0.009,0.027,-0.013,0.067,
17.35,0.252,0.256,0.011,0.032,-0.01,0.077,
17.4,0.253,0.256,0.013,0.021,-0.005,0.075,
17.45,0.253,0.256,0.013,0.012,-0.002,0.075,
17.5,0.254,0.256,0.014,-0.0,0.002,0.08,
17.55,0.255,0.256,0.013,-0.014,0.007,0.068,
17.6,0.255,0.256,0.012,-0.005,0.009,0.056,
17.65,0.256,0.257,0.012,0.01,0.011,0.062,
17.7,0.256,0.257,0.014,0.01,0.015,0.063,
17.75,0.257,0.258,0.014,-0.01,0.019,0.043,
17.8,0.258,0.259,0.013,-0.035,0.02,0.019,
17.85,0.258,0.26,0.01,-0.041,0.019,0.019,
17.9,0.259,0.261,0.008,-0.034,0.022,0.017,
17.95,0.259,0.263,0.008,-0.047,0.023,-0.016,
18.0,0.26,0.264,0.003,-0.059,0.02,-0.04,
18.05,0.259,0.264,-0.001,-0.029,0.017,-0.03,
18.1,0.259,0.265,0.001,-0.016,0.017,-0.021,
18.15,0.26,0.266,0.001,-0.055,0.016,-0.034,
18.2,0.26,0.267,-0.005,-0.078,0.014,-0.053,
18.25,0.259,0.268,-0.009,-0.068,0.01,-0.064,
18.3,0.259,0.268,-0.013,-0.041,0.007,-0.068,
18.35,0.258,0.268,-0.014,-0.006,0.003,-0.068,
18.4,0.257,0.268,-0.012,-0.003,0.0,-0.067,
18.45,0.257,0.268,-0.012,-0.031,-0.003,-0.063,
18.5,0.256,0.268,-0.016,-0.042,-0.006,-0.057,
18.55,0.255,0.268,-0.019,-0.005,-0.009,-0.051,
18.6,0.254,0.267,-0.016,0.042,-0.012,-0.042,
18.65,0.253,0.266,-0.012,0.045,-0.014,-0.022,
18.7,0.253,0.266,-0.011,0.034,-0.013,-0.016,
18.75,0.252,0.265,-0.009,0.028,-0.014,-0.026,
